"(Intercept)" "stageNREM" "stageIS" "stageREM"
"48.6.1" -2.03667147472959 -0.982690060212435 -1.19225226842242 -2.30848546801313
"63.8.2" -3.91718497644738 -3.63166568727992 -3.84122789548991 -4.95746109508062
"64.8.3" -2.7262916644741 -1.96411169448791 -2.17367390269789 -3.2899071022886
"73.9.3" -2.29023522396078 -1.29536313252448 -1.50492534073447 -2.62115854032517
"64.8.4" -2.26408158002249 -1.29787434821731 -1.5074365564273 -2.62366975601801
"0.6.5" -2.92554277703088 -2.25019930420566 -2.45976151241565 -3.57599471200636
"105.10.5" -2.12849864637215 -1.11941006275492 -1.3289722709649 -2.44520547055561
"93.10.7" -2.65549224368681 -1.8483943998227 -2.05795660803269 -3.17418980762339
"45.6.9" -1.76351390491728 -0.609541218978484 -0.819103427188472 -1.93533662677918
"109.10.10" -2.35673084633912 -1.43256019873981 -1.6421224069498 -2.75835560654051
"54.6.15" -2.77269156295505 -1.97984143611085 -2.18940364432084 -3.30563684391155
