"(Intercept)" "stageNREM" "stageIS" "stageREM"
"48.6.1" 0.580548605980219 0.716491734570385 0.667227730579284 0.556023783688765
"63.8.2" 0.420838691924243 0.556781807853097 0.507517803861996 0.396313856971477
"64.8.3" 0.517161394687771 0.653104518252794 0.603840514261693 0.492636567371174
"73.9.3" 0.559862520204808 0.695805647155045 0.646541643163944 0.535337696273425
"64.8.4" 0.522171433998569 0.658114557960772 0.608850553969671 0.497646607079152
"0.6.5" 0.478961779395054 0.614904899931728 0.565640895940627 0.454436949050108
"105.10.5" 0.566996091020356 0.70293921853612 0.653675214545019 0.5424712676545
"93.10.7" 0.548871398951071 0.684814525029965 0.635550521038864 0.524346574148345
"45.6.9" 0.565217039246514 0.70116016662124 0.651896162630139 0.54069221573962
"109.10.10" 0.582863593063333 0.718806721837024 0.669542717845923 0.558338770955404
"54.6.15" 0.645204270638577 0.781147404354445 0.731883400363344 0.620679453472825
