"(Intercept)" "stageNREM" "stageIS" "stageREM"
"48.6.1" -2.98504240473678 -2.16024610510105 -2.2417682662132 -2.69148460846692
"63.8.2" -3.26019077989569 -2.75877203865675 -2.8402941997689 -3.29001054202262
"64.8.3" -3.07293521364538 -2.77864514227615 -2.8601673033883 -3.30988364564202
"73.9.3" -3.55720143581448 -3.4125081570892 -3.49403031820134 -3.94374666045507
"64.8.4" -2.66843031685018 -1.87891098047087 -1.96043314158301 -2.41014948383674
"89.10.4" -3.35465954263746 -2.91811150935407 -2.99963367046622 -3.44935001271994
"92.10.4" -3.35992034063333 -3.15971414703949 -3.24123630815164 -3.69095265040536
"0.6.5" -2.00853030421681 -1.04984393320474 -1.13136609431689 -1.58108243657061
"44.6.5" -1.97043185176129 -0.755397641596758 -0.836919802708904 -1.28663614496263
"105.10.5" -3.10852602296705 -2.32900699737564 -2.41052915848779 -2.86024550074151
"44.6.6" -1.8014515419727 -1.29959525396002 -1.38111741507217 -1.83083375732589
"93.10.7" -2.87083488255344 -2.17455915265571 -2.25608131376785 -2.70579765602158
"45.6.9" -2.95247905416059 -2.21096262958266 -2.29248479069481 -2.74220113294853
"109.10.10" -3.24704379391676 -2.92955513597052 -3.01107729708266 -3.46079363933639
"54.6.15" -3.55023679385874 -2.81883544885772 -2.90035760996987 -3.35007395222359
