"(Intercept)" "stageNREM" "stageIS" "stageREM"
"48.6.1" 0.627603408884131 0.659282913195656 0.662872187385593 0.547654643167579
"63.8.2" 0.632630012336593 0.664309516734501 0.667898790924438 0.552681246706423
"64.8.3" 0.634342117841434 0.666021622268764 0.669610896458701 0.554393352240687
"73.9.3" 0.610723000658354 0.64240250467979 0.645991778869727 0.530774234651713
"64.8.4" 0.643553243002228 0.675232747587851 0.678822021777788 0.563604477559774
"89.10.4" 0.647777648233078 0.679457152891297 0.683046427081234 0.567828882863219
"92.10.4" 0.648874001397396 0.680553506074456 0.684142780264393 0.568925236046379
"0.6.5" 0.662064166889828 0.69374367179356 0.697332945983497 0.582115401765483
"44.6.5" 0.66961022027376 0.701289725307171 0.704878999497108 0.589661455279094
"105.10.5" 0.638722616476847 0.670402120979456 0.673991395169393 0.558773850951379
"44.6.6" 0.667943448010536 0.699622953015304 0.703212227205241 0.587994682987226
"93.10.7" 0.661649964766748 0.693329469663362 0.696918743853299 0.581701199635285
"45.6.9" 0.633763239228805 0.665442743646187 0.669032017836124 0.55381447361811
"109.10.10" 0.654341047185912 0.686020551956923 0.68960982614686 0.574392281928846
"54.6.15" 0.64175625959617 0.673435764150912 0.677025038340849 0.561807494122835
