"(Intercept)" "stageNREM" "stageIS" "stageREM"
"48.6.1" -2.15264954307567 -1.52747240784965 -1.53150176387631 -1.99283866813912
"63.8.2" -2.98179368298807 -2.35661655194396 -2.36064590797062 -2.82198281223343
"64.8.3" -2.77749796628144 -2.15232083420693 -2.15635019023359 -2.6176870944964
"73.9.3" -3.36105291124374 -2.73587578211248 -2.73990513813914 -3.20124204240195
"64.8.4" -2.36221849876284 -1.7370413645938 -1.74107072062047 -2.20240762488327
"89.10.4" -3.10351523204007 -2.47833810160988 -2.48236745763654 -2.94370436189935
"92.10.4" -3.23645645605954 -2.61127932629986 -2.61530868232652 -3.07664558658933
"0.6.5" -1.238770157066 -0.613593017230687 -0.617622373257349 -1.07895927752016
"105.10.5" -2.59190018024163 -1.96672304723103 -1.9707524032577 -2.4320893075205
"44.6.6" -1.34166853446193 -0.716491395145595 -0.720520751172257 -1.18185765543506
"93.10.7" -1.91048018748128 -1.28530305103383 -1.2893324070605 -1.7506693113233
"45.6.9" -2.28831249403878 -1.66313535949699 -1.66716471552366 -2.12850161978646
"109.10.10" -3.02882222525557 -2.40364509444865 -2.40767445047532 -2.86901135473812
"54.6.15" -2.8812979052567 -2.25612077370572 -2.26015012973238 -2.72148703399519
