"(Intercept)" "stageNREM" "stageIS" "stageREM"
"48.6.1" 1.45363067648971 1.54570417743809 1.55775742911016 1.69927099671714
"63.8.2" 1.45363067624188 1.54570417719027 1.55775742886234 1.69927099646932
"64.8.3" 1.45363067630181 1.5457041772502 1.55775742892227 1.69927099652925
"73.9.3" 1.45363067674982 1.5457041776982 1.55775742937027 1.69927099697725
"64.8.4" 1.45363067652119 1.54570417746958 1.55775742914165 1.69927099674863
"89.10.4" 1.45363067695376 1.54570417790214 1.55775742957421 1.69927099718119
"92.10.4" 1.45363067671481 1.54570417766319 1.55775742933526 1.69927099694224
"0.6.5" 1.45363067683224 1.54570417778062 1.55775742945269 1.69927099705967
"105.10.5" 1.45363067735682 1.54570417830521 1.55775742997728 1.69927099758426
"44.6.6" 1.45363067616444 1.54570417711282 1.55775742878489 1.69927099639187
"93.10.7" 1.45363067649566 1.54570417744405 1.55775742911612 1.6992709967231
"45.6.9" 1.45363067663711 1.5457041775855 1.55775742925757 1.69927099686455
"109.10.10" 1.4536306762577 1.54570417720608 1.55775742887816 1.69927099648513
"54.6.15" 1.45363067666228 1.54570417761067 1.55775742928274 1.69927099688972
