"(Intercept)" "stageNREM" "stageIS" "stageREM"
"48.6.1" -2.60263832850133 -2.31288370358566 -2.25876514727954 -2.34001624512333
"73.9.3" -3.87101328050984 -3.58125865559417 -3.52714009928805 -3.60839119713183
"64.8.4" -2.3271741904664 -2.03741956555073 -1.98330100924461 -2.06455210708839
"92.10.4" -4.11648459635601 -3.82672997144034 -3.77261141513422 -3.85386251297801
"0.6.5" -3.01963254858345 -2.72987792366778 -2.67575936736166 -2.75701046520545
"105.10.5" -3.80279019553029 -3.51303557061462 -3.4589170143085 -3.54016811215229
"44.6.6" -2.85361755756272 -2.56386293264704 -2.50974437634092 -2.59099547418471
"93.10.7" -3.82100307164387 -3.53124844672819 -3.47712989042207 -3.55838098826586
"45.6.9" -2.44491353814836 -2.15515891323269 -2.10104035692657 -2.18229145477036
"109.10.10" -3.19537187634501 -2.90561725142934 -2.85149869512322 -2.932749792967
