"(Intercept)" "stageNREM" "stageIS" "stageREM"
"48.6.1" -2.20410598044812 -2.20190285281036 -2.19430547034926 -2.40922668165263
"73.9.3" -2.26969053381538 -2.27840522321751 -2.27080784075641 -2.48572905205978
"64.8.4" -2.1858750539969 -1.95849824812803 -1.95090086566694 -2.16582207697031
"92.10.4" -2.15885692921236 -2.23362675708131 -2.22602937462021 -2.44095058592358
"0.6.5" -2.25164890050852 -2.26842719524366 -2.26082981278256 -2.47575102408593
"105.10.5" -2.0095856757383 -1.93165293730999 -1.92405555484889 -2.13897676615226
"44.6.6" -2.37054679655634 -2.09351674903233 -2.08591936657124 -2.30084057787461
"93.10.7" -2.34020791277395 -2.39667719423917 -2.38907981177808 -2.60400102308145
"45.6.9" -2.19028951256087 -2.10803246721234 -2.10043508475124 -2.31535629605461
"109.10.10" -2.03193696895509 -1.85057718253949 -1.8429798000784 -2.05790101138177
