"(Intercept)" "stageNREM" "stageIS" "stageREM"
"48.6.1" 2.51812938318666 2.5193871297583 2.52667409262491 2.58514763700486
"73.9.3" 2.26881408915668 2.2753601716302 2.2826471344968 2.34112067887676
"64.8.4" 2.45315252019045 2.42204277447643 2.42932973734303 2.48780328172299
"92.10.4" 1.94775864783639 1.96963526778008 1.97692223064668 2.03539577502664
"0.6.5" 1.95453261040185 1.98765243906826 1.99493940193487 2.05341294631482
"105.10.5" 1.89066137670928 1.8620942901335 1.8693812530001 1.92785479738006
"44.6.6" 2.58636115029885 2.63799831797692 2.64528528084353 2.70375882522348
"93.10.7" 1.93276890184416 1.9490484911247 1.9563354539913 2.01480899837126
"45.6.9" 2.9092748222554 2.9141265836801 2.92141354654671 2.97988709092666
"109.10.10" 1.94444827704649 1.93042879172046 1.93771575458706 1.99618929896702
