"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -2.26785340767813 -1.35552122391778 -0.918173419201329
"126.13.3" -1.80575209123182 -1.88102538742789 -1.44367758271144
"127.13.4" -2.82315147895132 -1.83069908724716 -1.3933512825307
"114.11.5" -2.67984330066724 -2.24168744629369 -1.80433964157724
"128.13.5" -2.13990214078548 -1.88509099663127 -1.44774319191482
"139.14.5" -1.49968681864735 -1.77949352428431 -1.34214571956786
"129.13.6" -0.923625596589962 -1.44500140046271 -1.00765359574626
"140.14.6" -1.98859333975151 -1.86483780743183 -1.42749000271537
"116.11.7" -1.87582923337968 -2.24254668022551 -1.80519887550906
"141.14.7" -2.27229419581846 -2.23178017254306 -1.79443236782661
"117.11.9" -2.56409702435468 -2.22110399911721 -1.78375619440076
"118.11.10" -2.80581237356301 -2.63857439626452 -2.20122659154807
"133.13.11" -3.55044680568609 -2.88409973914195 -2.4467519344255
"162.14.15" -3.31206412383496 -2.37759211856389 -1.94024431384743
