"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" 0.5429074159471 0.403742477344135 0.417309238089968
"126.13.3" 0.598826643240322 0.315782417036669 0.329349177782501
"127.13.4" 0.551281574059718 0.382953674796866 0.396520435542699
"114.11.5" 0.571904969377441 0.364154542487804 0.377721303233637
"128.13.5" 0.594068617026588 0.295529092932285 0.309095853678117
"139.14.5" 0.585779639955496 0.365173674336785 0.378740435082618
"129.13.6" 0.62207662319521 0.31723719491102 0.330803955656853
"140.14.6" 0.532306598519932 0.335951622900194 0.349518383646026
"116.11.7" 0.611139718274947 0.349508691976908 0.36307545272274
"141.14.7" 0.593931047129275 0.321103373849333 0.334670134595165
"117.11.9" 0.584666346232322 0.343861381656096 0.357428142401928
"118.11.10" 0.596778961655853 0.308061486350929 0.321628247096761
"133.13.11" 0.540986414645544 0.347387643354886 0.360954404100718
"162.14.15" 0.564316788662791 0.344484038044098 0.358050798789931
