"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -1.77618815385231 -2.21050629197539 -1.25520570938951
"114.11.5" -1.99866389800743 -2.4329820361305 -1.47768145354463
"128.13.5" -1.63562795162786 -2.06994608975093 -1.11464550716506
"139.14.5" -1.4460045239119 -1.88032266203497 -0.925022079449098
"129.13.6" -1.21500080936962 -1.6493189474927 -0.694018364906825
"116.11.7" -1.49881089454191 -1.93312903266499 -0.977828450079112
"141.14.7" -1.9524712469145 -2.38678938503758 -1.4314888024517
"117.11.9" -2.01511595703369 -2.44943409515676 -1.49413351257089
"118.11.10" -2.23983829967421 -2.67415643779729 -1.71885585521141
"133.13.11" -2.98684331705458 -3.42116145517766 -2.46586087259178
