"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" 1.58093812691803 1.27424485740962 1.43083085598849
"114.11.5" 1.58093812690546 1.27424485739705 1.43083085597592
"128.13.5" 1.58093812690498 1.27424485739657 1.43083085597544
"139.14.5" 1.58093812686117 1.27424485735276 1.43083085593162
"129.13.6" 1.58093812694562 1.27424485743721 1.43083085601608
"116.11.7" 1.58093812690433 1.27424485739592 1.43083085597479
"141.14.7" 1.58093812687075 1.27424485736234 1.43083085594121
"117.11.9" 1.58093812688524 1.27424485737684 1.4308308559557
"118.11.10" 1.58093812685378 1.27424485734538 1.43083085592424
"133.13.11" 1.58093812693027 1.27424485742186 1.43083085600073
