"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -3.08352958092063 -2.46462356889266 -2.01130548985692
"126.13.3" -2.89210273308009 -2.87542834998188 -2.42211027094613
"127.13.4" -2.83321979246945 -2.86659747307626 -2.41327939404051
"114.11.5" -2.71531871849375 -3.10862321311832 -2.65530513408258
"128.13.5" -2.83879135417849 -2.82906788118709 -2.37574980215134
"139.14.5" -2.73297312674419 -3.00596346487372 -2.55264538583797
"129.13.6" -2.83205798575986 -2.879848379874 -2.42653030083825
"140.14.6" -2.29206124121637 -3.0887822897868 -2.63546421075105
"116.11.7" -2.88183707845168 -3.19769311621897 -2.74437503718322
"141.14.7" -2.72409150742312 -2.54691546862516 -2.09359738958941
"117.11.9" -2.74920763900322 -3.14641751478693 -2.69309943575119
"118.11.10" -3.01395595528099 -3.07665190912411 -2.62333383008836
"133.13.11" -2.9492651179291 -3.04714421722396 -2.59382613818821
"162.14.15" -2.9435765859404 -3.23187433065249 -2.77855625161674
