"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -2.08507383894241 -2.07793594155288 -1.9553344596786
"126.13.3" -2.08507383928534 -2.16726763625259 -2.04466615437832
"127.13.4" -2.08507383891574 -2.07099040982565 -1.94838892795138
"114.11.5" -2.08507383935083 -2.18432633764952 -2.06172485577525
"128.13.5" -2.0850738391276 -2.12617822961231 -2.00357674773804
"139.14.5" -2.08507383910463 -2.12019467333753 -1.99759319146326
"129.13.6" -2.08507383930009 -2.17110980751655 -2.04850832564228
"140.14.6" -2.08507383931538 -2.17509139272006 -2.05248991084579
"116.11.7" -2.0850738394017 -2.19757821571957 -2.0749767338453
"141.14.7" -2.08507383913108 -2.12708460287148 -2.0044831209972
"117.11.9" -2.08507383968077 -2.27027309443774 -2.14767161256347
"118.11.10" -2.08507383929474 -2.16971627755885 -2.04711479568458
"133.13.11" -2.08507383922794 -2.15231523664882 -2.02971375477455
"162.14.15" -2.08507383969427 -2.27379025013862 -2.15118876826435
