"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -2.96435175966892 -2.58826432015926 -1.76572072686957
"126.13.3" -2.81170874889361 -2.5505773102569 -1.72803371696722
"127.13.4" -3.24049539235819 -2.66405328382787 -1.84150969053818
"114.11.5" -3.0521794811836 -2.8460893492786 -2.02354575598891
"128.13.5" -2.57424326800683 -2.22944934356083 -1.40690575027115
"139.14.5" -2.92059310694172 -2.7469275302577 -1.92438393696802
"129.13.6" -2.40468989676287 -2.19767909111388 -1.3751354978242
"140.14.6" -2.81083920067614 -2.81621133038867 -1.99366773709898
"116.11.7" -2.91048662137886 -2.74679896495747 -1.92425537166778
"141.14.7" -2.79444253619695 -2.82726174885117 -2.00471815556148
"117.11.9" -2.91600158858321 -2.60824296348473 -1.78569937019504
"118.11.10" -3.02712470849038 -2.86643906120576 -2.04389546791608
"132.13.10" -2.66739458548809 -2.37195100244725 -1.54940740915756
"133.13.11" -3.61904424215221 -3.61482717688217 -2.79228358359249
"162.14.15" -3.1599341371045 -2.86913440836269 -2.046590815073
