"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" 0.566596591631801 0.304214963817461 0.351551801587689
"126.13.3" 0.566596591761872 0.304214963947482 0.35155180171771
"127.13.4" 0.566596591665135 0.304214963850782 0.351551801621009
"114.11.5" 0.566596591611809 0.304214963797476 0.351551801567704
"128.13.5" 0.566596591632962 0.304214963818622 0.35155180158885
"139.14.5" 0.56659659174958 0.304214963935194 0.351551801705422
"129.13.6" 0.566596591669134 0.304214963854779 0.351551801625007
"140.14.6" 0.566596591597986 0.304214963783659 0.351551801553887
"116.11.7" 0.566596591684704 0.304214963870344 0.351551801640572
"141.14.7" 0.566596591624526 0.304214963810189 0.351551801580417
"117.11.9" 0.56659659164499 0.304214963830645 0.351551801600873
"118.11.10" 0.566596591635839 0.304214963821497 0.351551801591725
"132.13.10" 0.566596591706963 0.304214963892594 0.351551801662822
"133.13.11" 0.566596591706581 0.304214963892212 0.35155180166244
"162.14.15" 0.566596591593422 0.304214963779097 0.351551801549325
