"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -3.18606405911453 -2.966936521391 -2.73358523819134
"126.13.3" -2.88813896608555 -2.92453211847062 -2.69118083527096
"127.13.4" -2.95943028826229 -2.85394782070967 -2.62059653751001
"114.11.5" -3.07012601266426 -3.2709660181341 -3.03761473493444
"128.13.5" -2.87724942039063 -2.83844037184285 -2.60508908864319
"139.14.5" -2.91792601000528 -3.42760367740236 -3.1942523942027
"129.13.6" -2.70264799164535 -2.79710269247559 -2.56375140927593
"140.14.6" -2.58133592434053 -3.05197138173418 -2.81862009853452
"116.11.7" -2.56682667678739 -3.1138869076315 -2.88053562443184
"141.14.7" -2.82273892468653 -2.87840699621295 -2.64505571301329
"117.11.9" -2.36097289858482 -2.76224438912891 -2.52889310592925
"118.11.10" -2.43826781090019 -3.22572610600259 -2.99237482280293
"132.13.10" -2.6406966078032 -2.81644796672288 -2.58309668352322
"133.13.11" -3.63136645784118 -3.69410156767921 -3.46075028447955
"162.14.15" -2.92507396452655 -2.91801923282008 -2.68466794962042
