"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -2.12482416631425 -2.30427833140345 -2.21552650532538
"126.13.3" -2.0024826902981 -2.18193685272802 -2.09318502664995
"127.13.4" -1.92510789992456 -2.10456206067262 -2.01581023459455
"114.11.5" -1.98473707178483 -2.16419123382902 -2.07543940775095
"128.13.5" -2.01325440091799 -2.19270856358205 -2.10395673750398
"139.14.5" -2.15117412815728 -2.33062829381923 -2.24187646774116
"129.13.6" -2.01223825079062 -2.1916924134326 -2.10294058735452
"140.14.6" -1.98225035651094 -2.16170451850108 -2.07295269242301
"116.11.7" -2.14127481168575 -2.32072897713253 -2.23197715105445
"141.14.7" -1.9413372173128 -2.12079137841363 -2.03203955233555
"117.11.9" -2.06924411573936 -2.24869827962044 -2.15994645354237
"118.11.10" -2.0287869857049 -2.20824114870659 -2.11948932262852
"132.13.10" -1.93060677179705 -2.11006093266464 -2.02130910658657
"133.13.11" -1.93355600884388 -2.11301016977557 -2.0242583436975
"162.14.15" -2.03505523130187 -2.21450939443981 -2.12575756836173
