"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" 2.36021225205809 2.37527096888957 2.39724881460253
"126.13.3" 1.97679488521374 2.03838605182827 2.06036389754123
"127.13.4" 1.80869276149845 1.84396627547965 1.86594412119261
"114.11.5" 1.89786747682014 1.87285876401658 1.89483660972954
"128.13.5" 2.09982391238537 2.12002901722361 2.14200686293657
"139.14.5" 2.38660658391788 2.39793928057522 2.41991712628818
"129.13.6" 2.38643950169311 2.38979482627307 2.41177267198602
"140.14.6" 2.48020140281883 2.48565192697733 2.50762977269029
"116.11.7" 2.163758404068 2.19197323836301 2.21395108407596
"141.14.7" 2.45919136013985 2.48570495661782 2.50768280233078
"117.11.9" 2.16719991555979 2.18626843167442 2.20824627738738
"118.11.10" 2.23979287302041 2.23173552571975 2.2537133714327
"132.13.10" 2.34687836978458 2.3429940055271 2.36497185124006
"133.13.11" 1.97424733726294 1.98396789109769 2.00594573681065
"162.14.15" 2.60617613601376 2.55047154933562 2.57244939504858
