"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -4.09992663788406 -2.65237175994876 -1.62055871849429
"127.13.4" -3.92277328441932 -2.94710721976144 -1.91529417830697
"114.11.5" -3.69932766370625 -3.79947353520143 -2.76766049374696
"128.13.5" -3.8514851253875 -2.5205843470943 -1.48877130563983
"139.14.5" -3.91718141849238 -3.42132306058556 -2.38951001913109
"140.14.6" -3.64353297812867 -3.3156057032049 -2.28379266175043
"116.11.7" -3.77733948682681 -3.44558472760491 -2.41377168615044
"141.14.7" -3.81425025616598 -3.1918413044627 -2.16002826300823
"118.11.10" -3.74986513958416 -3.82994599599128 -2.79813295453681
"133.13.11" -4.05807540122022 -4.16523227506873 -3.13341923361426
