"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -1.18629559806645 -1.07911079343648 -0.943829586100124
"127.13.4" -1.18629559873282 -1.07911079410284 -0.943829586766491
"114.11.5" -1.18629560179653 -1.07911079716655 -0.9438295898302
"128.13.5" -1.18629559772116 -1.07911079309119 -0.943829585754833
"139.14.5" -1.18629559659659 -1.07911079196661 -0.943829584630258
"140.14.6" -1.18629559759597 -1.079110792966 -0.943829585629641
"116.11.7" -1.18629559701313 -1.07911079238316 -0.943829585046805
"141.14.7" -1.18629560006976 -1.07911079543978 -0.94382958810343
"118.11.10" -1.18629560128738 -1.0791107966574 -0.94382958932105
"133.13.11" -1.18629559802271 -1.07911079339273 -0.943829586056376
