"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -2.10042850266158 -1.60569592110515 -1.15853132147887
"126.13.3" -1.53773439140697 -1.82518678268475 -1.37802218305847
"127.13.4" -2.41744408141841 -1.95417200846558 -1.5070074088393
"114.11.5" -2.26158268439046 -2.18793875305067 -1.74077415342439
"128.13.5" -2.22839837305467 -2.20837786518987 -1.76121326556359
"139.14.5" -1.33785466234153 -1.73984467149214 -1.29268007186586
"129.13.6" -1.06288346479239 -1.70969242217274 -1.26252782254646
"140.14.6" -1.65164213583473 -1.94029535353467 -1.49313075390839
"116.11.7" -1.67324970519975 -2.36671209586346 -1.91954749623718
"141.14.7" -1.93787185598165 -2.03353032586216 -1.58636572623588
"117.11.9" -2.23300160964043 -2.19464169799884 -1.74747709837256
"118.11.10" -2.31209574940374 -2.37425795194076 -1.92709335231448
"133.13.11" -3.14749547699472 -2.44820598874127 -2.00104138911499
"162.14.15" -3.32184591887548 -2.54939947222022 -2.10223487259394
