"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" 0.554989362942701 0.299925280614652 0.318537971154701
"126.13.3" 0.622519113441239 0.367455034036703 0.386067724576753
"127.13.4" 0.599381200718321 0.344317120312093 0.362929810852142
"114.11.5" 0.558708302972099 0.303644220805052 0.322256911345101
"128.13.5" 0.53942414852848 0.284360065526578 0.302972756066627
"139.14.5" 0.640349569254555 0.385285490621939 0.403898181161989
"129.13.6" 0.665622133158883 0.410558055620372 0.429170746160421
"140.14.6" 0.510273845874354 0.255209761610471 0.27382245215052
"116.11.7" 0.607085411399599 0.352021331326904 0.370634021866953
"141.14.7" 0.573143041862892 0.318078960320756 0.336691650860806
"117.11.9" 0.6274380383088 0.372373959117215 0.390986649657265
"118.11.10" 0.635190409378688 0.380126330522721 0.39873902106277
"133.13.11" 0.577928347666015 0.322864266331046 0.341476956871095
"162.14.15" 0.568311969129655 0.313247887378371 0.33186057791842
