"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -2.88804124493269 -2.61110307100978 -2.48871941209139
"126.13.3" -2.08816716114726 -2.82711404048465 -2.70473038156626
"127.13.4" -2.84583941457093 -2.71377288934667 -2.59138923042828
"114.11.5" -3.00397562127081 -2.91702757469269 -2.7946439157743
"128.13.5" -2.51754006941142 -2.78076807445362 -2.65838441553523
"139.14.5" -2.22160888987963 -2.8273893549516 -2.70500569603321
"129.13.6" -0.931720827554879 -2.9093991464097 -2.78701548749131
"140.14.6" -1.92331707851904 -2.85391249367601 -2.73152883475762
"116.11.7" -2.0539549279346 -2.96669408978629 -2.8443104308679
"141.14.7" -2.9853699036705 -2.48084215974751 -2.35845850082912
"117.11.9" -2.07147762434015 -3.04963098297147 -2.92724732405308
"118.11.10" -2.36990790422402 -2.97483234350303 -2.85244868458464
"133.13.11" -3.39908876580863 -2.62418883301727 -2.50180517409888
"162.14.15" -3.26641318140377 -2.80056128986319 -2.6781776309448
