"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -2.14365300981321 -2.07632916127337 -2.0359533807486
"126.13.3" -2.01433496702643 -2.21878323174587 -2.17840745122111
"127.13.4" -1.9453744282327 -2.09818434548753 -2.05780856496276
"114.11.5" -2.07468768321327 -2.10482758282556 -2.0644518023008
"128.13.5" -2.02410562493107 -2.13000021265316 -2.0896244321284
"139.14.5" -2.15070136995153 -2.09665236067817 -2.05627658015341
"129.13.6" -1.76134246396242 -2.12272641956031 -2.08235063903555
"140.14.6" -2.02470417124784 -2.13472453432621 -2.09434875380145
"116.11.7" -2.0642079351542 -2.2443825285122 -2.20400674798743
"141.14.7" -1.95515745964689 -2.06353724862669 -2.02316146810193
"117.11.9" -2.0115515326825 -2.20221805770231 -2.16184227717755
"118.11.10" -1.85660658365043 -2.11517058756871 -2.07479480704394
"133.13.11" -2.3166783585163 -2.05810315349445 -2.01772737296969
"162.14.15" -2.00778428922654 -2.1079854091755 -2.06760962865073
