"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" 1.85345585244205 2.06565604879073 2.09785017027751
"126.13.3" 1.31278740530084 1.53774328960664 1.56993741109342
"127.13.4" 1.23578132033929 1.39619547109146 1.42838959257825
"114.11.5" 1.37124476944328 1.47924077590779 1.51143489739458
"128.13.5" 1.63924036039304 1.75238566878535 1.78457979027214
"139.14.5" 1.80782292729062 1.92750436195721 1.959698483444
"129.13.6" 1.83956816800114 1.96434085981726 1.99653498130405
"140.14.6" 1.95628571460003 2.15419260796815 2.18638672945494
"116.11.7" 1.75894472712279 1.79137670788477 1.82357082937156
"141.14.7" 2.09571096267264 2.18969093420193 2.22188505568872
"117.11.9" 1.86630694980539 1.91009219926701 1.9422863207538
"118.11.10" 1.83214507385484 1.85459372807524 1.88678784956203
"133.13.11" 1.70936666068482 1.76733679519184 1.79953091667863
"162.14.15" 2.30168296189802 2.28038031376495 2.31257443525174
