"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -3.02901542542803 -1.79758083948414 -1.35386211242711
"114.11.5" -3.17563133284407 -2.86681297098677 -2.42309424392974
"128.13.5" -3.00283892749972 -2.74862237315974 -2.3049036461027
"139.14.5" -2.53549803162243 -2.14868441684604 -1.70496568978901
"129.13.6" -1.8065084827391 -2.3807220769182 -1.93700334986117
"116.11.7" -2.8632350875779 -3.02041673324188 -2.57669800618485
"141.14.7" -3.96373280277704 -1.69756717927558 -1.25384845221854
"117.11.9" -2.8356065319382 -2.987224124279 -2.54350539722197
"118.11.10" -3.47398360259404 -2.99357182993031 -2.54985310287327
"162.14.15" -4.10656404679703 -2.09372521609945 -1.65000648904242
