"(Intercept)" "stageWhisking" "stageLocomotion"
"135.14.1" -0.931664689732086 -0.957792718926742 -0.896665600782947
"114.11.5" -0.990380063856677 -1.09068739432534 -1.02956027618154
"128.13.5" -1.0500731584263 -1.04418299657507 -0.983055878431274
"139.14.5" -0.895951974293219 -0.974577323611732 -0.913450205467937
"129.13.6" -1.19167901497701 -1.01538102735833 -0.954253909214532
"116.11.7" -0.844948690485889 -1.00775430082628 -0.946627182682482
"141.14.7" -1.18750046253831 -1.04944109806936 -0.988313979925566
"117.11.9" -0.999882612376888 -1.04845973590108 -0.987332617757285
"118.11.10" -1.18839348308471 -1.10685714139731 -1.04573002325351
"162.14.15" -1.11775399323079 -1.03821405473029 -0.977086936586494
